,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-01,DSI-02,DSI-03,DSI-04,DSI-05,DSI-06,DSI-07,DSI-08,DSI-09,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56,DSI-57,DSI-58,DSI-59,DSI-60,DSI-61,DSI-62,DSI-63,DSI-64,DSI-65,DSI-66,DSI-67,DSI-68,DSI-69,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
presidentElectDonaldTrump,27,presidentdonaldTrump,13,0.0036804798255179933,0.8450980400142568,0.00311036628685727,1.0,,,,,0.0196078431372549,0.028985507246376812,0.011363636363636364,,,0.018867924528301886,0.0273972602739726,,0.028368794326241134,0.03636363636363636,,0.00847457627118644,0.005494505494505495,0.017857142857142856,,0.016129032258064516,,0.007751937984496124,0.02727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade,27,trade,11,0.0036804798255179933,0.9176487071628686,0.0033773875536256067,1.0,,,,,0.0196078431372549,,0.03409090909090909,0.029850746268656716,,,,,,,,,0.005494505494505495,,,,,,,,,,,,,,0.01282051282051282,,,,,,0.018518518518518517,,,,,0.028985507246376812,,,,,,0.023529411764705882,,,,,,,,0.02040816326530612,,,,,,,,,,,,,,,,0.03260869565217391,,,,,,,,,,,,0.09523809523809523,,,,,,,
business,26,business,18,0.003544165757906216,0.7037688872177875,0.002494273591557044,1.0,,,,0.03076923076923077,,0.014492753623188406,,,0.007462686567164179,,,,,0.004545454545454545,,,,,0.0058823529411764705,,,0.007751937984496124,,,,,,,,,,0.0425531914893617,,,,,,,,,,,,,,,0.04477611940298507,,,0.05172413793103448,,0.015873015873015872,,,,,,,0.017543859649122806,0.031746031746031744,,,,,,,0.011363636363636364,,,,,0.005434782608695652,,0.015037593984962405,,0.008130081300813009,,0.019230769230769232,,,,,,,,,,,,,0.015151515151515152
daca,25,daca,7,0.0034078516902944383,1.1139433523068367,0.0037961537360511064,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05128205128205128,,,,,,0.2222222222222222,,,,,0.025,,,,,,0.22950819672131148,,,,0.022727272727272728,,,0.16326530612244897,,,,,,,0.10526315789473684,,,,,,,,,,,,,,
obama,25,barackObama,17,0.0034078516902944383,0.7285924709428196,0.0024829350836382894,1.0,,,,,0.0196078431372549,,,0.029850746268656716,,,,,0.02127659574468085,,,0.00847457627118644,0.005494505494505495,,0.0058823529411764705,,0.011764705882352941,0.007751937984496124,,0.0379746835443038,,,,0.015873015873015872,,,,0.02127659574468085,,,,,,,,,,,,,,0.01282051282051282,,,0.018072289156626505,,,,,,,,,,,,,0.007194244604316547,,,,,,,,0.02040816326530612,,,,0.007518796992481203,0.02127659574468085,,,,,,,,,,,,,,,,
gop,24,republican,11,0.003271537622682661,0.9176487071628686,0.0030021222698894284,1.0,,,,0.03076923076923077,,,,,,,,0.03636363636363636,,,,,,0.017857142857142856,,,,,,,,,,,,,,,,,0.025974025974025976,,,,,,0.05084745762711865,,0.021052631578947368,,,,,,0.030120481927710843,,,,,,,,0.0125,,,,,,0.01639344262295082,,,,,,,,,0.005434782608695652,,,,,,,,,,,,,,,,,,,0.06060606060606061
conflict,24,conflict,8,0.003271537622682661,1.05595140532915,0.0034545847502589423,0.1,,,,,,0.005797101449275362,,,,,,,,0.0027272727272727275,,,,,,,,,,,,,,,,,,,,,,,,0.0010638297872340426,,,,0.0014492753623188406,,,,,,,,,,,,,,,,,,,,,,,,0.001257861635220126,0.0011363636363636365,,,,,,,,,0.006504065040650407,,,,0.0007751937984496124,,,,,,,,,,,
court,23,supremeCourt,9,0.0031352235550708833,1.0047988828817687,0.0031502691257198306,1.0,,,,,,,,,,0.09433962264150944,,,,,,,,,,0.016129032258064516,,,,,,,,0.015873015873015872,,0.013513513513513514,,,,0.0125,,,,,0.037037037037037035,,,,,0.07142857142857142,,0.01282051282051282,,,,,,,,,0.06493506493506493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investigation,22,russiaElectionHacking,6,0.0029989094874591058,1.18089014193745,0.003541382650303149,1.0,,,,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,,0.034482758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016260162601626018,,,,,,,,,,,,,,0.010869565217391304,0.05660377358490566,,,,,,,,,,0.05970149253731343,,,,,,,,
southKorea,22,northSouthKorea,5,0.0029989094874591058,1.2600713879850747,0.0037788400403042043,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046296296296296294,0.06382978723404255,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03773584905660377,,,,,,0.005434782608695652,,,,,,,,0.031007751937984496,,,,,,,,,,,
